
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
3,,Filament,1.000,1,100000000,
4,,Filament,2.000,1,100000000,
5,,Filament,3.000,1,100000000,
2,,Filament,4.000,1,100000000,
3,,Filament,5.000,1,100000000,
4,,Filament,6.000,1,100000000,
1,,Filament,7.000,1,100000000,
0,,Filament,8.000,1,100000000,
0,,Filament,0.000,1,100000001,
9,,Filament,1.000,1,100000001,
16,,Filament,2.000,1,100000001,
9,,Filament,3.000,1,100000001,
5,,Filament,4.000,1,100000001,
6,,Filament,5.000,1,100000001,
6,,Filament,6.000,1,100000001,
7,,Filament,7.000,1,100000001,
6,,Filament,8.000,1,100000001,
4,,Filament,9.000,1,100000001,
3,,Filament,10.000,1,100000001,
4,,Filament,11.000,1,100000001,
7,,Filament,12.000,1,100000001,
7,,Filament,13.000,1,100000001,
4,,Filament,14.000,1,100000001,
2,,Filament,15.000,1,100000001,
1,,Filament,16.000,1,100000001,
3,,Filament,17.000,1,100000001,
3,,Filament,18.000,1,100000001,
1,,Filament,19.000,1,100000001,
0,,Filament,20.000,1,100000001,
