
Spine Intensity Median Ch=3 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,3,4,Image 1,3,1,100000001,610000008017,
0,,Spine,3,4,Image 1,3,1,100000001,610000008033,
0,,Spine,3,3,Image 1,2,1,100000000,610000008048,
0,,Spine,3,3,Image 1,3,1,100000002,610000008059,
0,,Spine,3,3,Image 1,3,1,100000002,610000008068,
0,,Spine,3,3,Image 1,3,1,100000002,610000008075,
0,,Spine,3,2,Image 1,1,1,100000000,610000008086,
0.03125,,Spine,3,5,Image 1,3,1,100000003,610000008093,
0.03125,,Spine,3,5,Image 1,2,1,100000003,610000008101,
0,,Spine,3,9,Image 1,4,1,100000003,610000008103,
0,,Spine,3,1,Image 1,1,1,100000002,610000008108,
0.015625,,Spine,3,6,Image 1,1,1,100000003,610000008113,
0,,Spine,3,1,Image 1,1,1,100000001,610000008116,
0,,Spine,3,3,Image 1,3,1,100000002,610000008121,
0,,Spine,3,3,Image 1,3,1,100000002,610000008125,
0,,Spine,3,4,Image 1,3,1,100000003,610000008132,
0,,Spine,3,1,Image 1,1,1,100000001,610000008140,
0,,Spine,3,13,Image 1,6,1,100000001,610000008144,
0,,Spine,3,13,Image 1,6,1,100000001,610000008147,
0,,Spine,3,2,Image 1,1,1,100000000,610000008154,
0,,Spine,3,1,Image 1,1,1,100000002,610000008158,
0,,Spine,3,12,Image 1,6,1,100000003,610000008162,
0,,Spine,3,2,Image 1,1,1,100000000,610000008168,
0,,Spine,3,2,Image 1,1,1,100000000,610000008173,
0,,Spine,3,4,Image 1,3,1,100000000,610000008186,
0,,Spine,3,2,Image 1,1,1,100000000,610000008192,
0,,Spine,3,2,Image 1,1,1,100000000,610000008197,
0,,Spine,3,2,Image 1,1,1,100000000,610000008201,
0,,Spine,3,2,Image 1,1,1,100000000,610000008205,
0,,Spine,3,9,Image 1,3,1,100000001,610000008218,
0,,Spine,3,0,Image 1,1,1,100000000,610000008223,
0,,Spine,3,9,Image 1,3,1,100000001,610000008233,
0,,Spine,3,0,Image 1,1,1,100000000,610000008238,
0,,Spine,3,9,Image 1,3,1,100000001,610000008250,
0,,Spine,3,14,Image 1,6,1,100000003,610000008254,
0,,Spine,3,4,Image 1,2,1,100000003,610000008259,
0,,Spine,3,9,Image 1,3,1,100000001,610000008268,
0,,Spine,3,12,Image 1,4,1,100000001,610000008273,
0,,Spine,3,0,Image 1,1,1,100000000,610000008276,
0,,Spine,3,12,Image 1,4,1,100000001,610000008281,
0,,Spine,3,4,Image 1,2,1,100000000,610000008284,
0,,Spine,3,2,Image 1,3,1,100000000,610000008286,
0,,Spine,3,5,Image 1,2,1,100000003,610000008291,
0,,Spine,3,10,Image 1,2,1,100000003,610000008298,
0,,Spine,3,5,Image 1,2,1,100000003,610000008303,
