
Spine Neck Max Diameter
 ==================== 
Spine Neck Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,6,4,1,100000002,610000002023,
0.292159,µm,Spine,1,1,1,100000000,610000002031,
0.407864,µm,Spine,0,1,1,100000004,610000002036,
0.331769,µm,Spine,1,1,1,100000001,610000002041,
0,µm,Spine,1,1,1,100000004,610000002044,
0.332168,µm,Spine,1,1,1,100000003,610000002051,
0.451785,µm,Spine,3,3,1,100000002,610000002055,
0.242262,µm,Spine,8,5,1,100000002,610000002061,
0,µm,Spine,4,2,1,100000002,610000002064,
0.332168,µm,Spine,1,1,1,100000003,610000002069,
0,µm,Spine,1,1,1,100000001,610000002072,
0.1625,µm,Spine,1,2,1,100000003,610000002074,
0.293851,µm,Spine,0,1,1,100000002,610000002077,
0,µm,Spine,0,1,1,100000004,610000002080,
0.189287,µm,Spine,8,5,1,100000002,610000002083,
0.1625,µm,Spine,1,1,1,100000003,610000002086,
0,µm,Spine,1,1,1,100000003,610000002091,
0,µm,Spine,1,1,1,100000001,610000002095,
0,µm,Spine,1,1,1,100000000,610000002099,
0,µm,Spine,1,1,1,100000001,610000002102,
0.351773,µm,Spine,4,2,1,100000002,610000002105,
0,µm,Spine,1,1,1,100000003,610000002107,
0,µm,Spine,1,1,1,100000000,610000002109,
0.451785,µm,Spine,3,3,1,100000002,610000002111,
0,µm,Spine,1,1,1,100000003,610000002113,
0,µm,Spine,1,1,1,100000003,610000002118,
0.293851,µm,Spine,0,1,1,100000002,610000002120,
0,µm,Spine,1,1,1,100000001,610000002123,
0,µm,Spine,1,1,1,100000001,610000002126,
0,µm,Spine,1,1,1,100000001,610000002129,
0,µm,Spine,1,1,1,100000003,610000002132,
0,µm,Spine,1,1,1,100000003,610000002134,
0,µm,Spine,1,1,1,100000003,610000002139,
0,µm,Spine,1,1,1,100000003,610000002145,
0,µm,Spine,1,1,1,100000003,610000002148,
0,µm,Spine,1,1,1,100000003,610000002151,
0,µm,Spine,0,1,1,100000003,610000002155,
0,µm,Spine,3,3,1,100000002,610000002158,
0,µm,Spine,1,1,1,100000003,610000002160,
0,µm,Spine,1,1,1,100000003,610000002163,
0,µm,Spine,1,1,1,100000001,610000002168,
0,µm,Spine,0,1,1,100000001,610000002180,
0,µm,Spine,1,1,1,100000000,610000002186,
0,µm,Spine,3,2,1,100000001,610000002188,
0,µm,Spine,1,2,1,100000001,610000002189,
0,µm,Spine,1,2,1,100000001,610000002190,
0,µm,Spine,1,2,1,100000001,610000002191,
0,µm,Spine,0,1,1,100000001,610000002192,
0,µm,Spine,1,2,1,100000001,610000002193,
0,µm,Spine,1,1,1,100000001,610000002194,
0,µm,Spine,4,2,1,100000002,610000002195,
0,µm,Spine,7,5,1,100000002,610000002196,
0,µm,Spine,4,3,1,100000002,610000002197,
0,µm,Spine,3,2,1,100000002,610000002198,
0,µm,Spine,1,1,1,100000002,610000002199,
0,µm,Spine,3,3,1,100000002,610000002200,
0,µm,Spine,2,3,1,100000002,610000002201,
0,µm,Spine,0,1,1,100000002,610000002202,
0,µm,Spine,0,1,1,100000003,610000002203,
0,µm,Spine,1,1,1,100000003,610000002204,
0,µm,Spine,0,1,1,100000003,610000002205,
0,µm,Spine,0,1,1,100000003,610000002206,
0,µm,Spine,3,2,1,100000004,610000002217,
0,µm,Spine,1,2,1,100000004,610000002218,
0,µm,Spine,1,1,1,100000004,610000002219,
