
Spine Intensity StdDev Ch=3 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7.5524,,Spine,3,2,Image 1,3,1,100000002,610000001343,
7.68256,,Spine,3,2,Image 1,3,1,100000002,610000001354,
0,,Spine,3,1,Image 1,1,1,100000002,610000001363,
0,,Spine,3,2,Image 1,3,1,100000002,610000001367,
0,,Spine,3,6,Image 1,2,1,100000000,610000001371,
0,,Spine,3,6,Image 1,3,1,100000000,610000001375,
0,,Spine,3,6,Image 1,2,1,100000000,610000001378,
0,,Spine,3,0,Image 1,1,1,100000002,610000001381,
0,,Spine,3,1,Image 1,1,1,100000002,610000001389,
0,,Spine,3,0,Image 1,1,1,100000001,610000001391,
0,,Spine,3,2,Image 1,1,1,100000001,610000001395,
0,,Spine,3,1,Image 1,1,1,100000002,610000001401,
5.45152,,Spine,3,1,Image 1,1,1,100000000,610000001407,
0,,Spine,3,2,Image 1,1,1,100000001,610000001412,
0,,Spine,3,1,Image 1,1,1,100000002,610000001415,
0,,Spine,3,6,Image 1,2,1,100000000,610000001419,
0,,Spine,3,2,Image 1,1,1,100000001,610000001423,
0,,Spine,3,6,Image 1,2,1,100000000,610000001426,
0,,Spine,3,3,Image 1,1,1,100000000,610000001429,
0,,Spine,3,6,Image 1,2,1,100000000,610000001431,
0,,Spine,3,2,Image 1,1,1,100000001,610000001433,
4.6688,,Spine,3,1,Image 1,1,1,100000000,610000001437,
0,,Spine,3,6,Image 1,2,1,100000000,610000001439,
4.63852,,Spine,3,1,Image 1,1,1,100000002,610000001444,
0,,Spine,3,2,Image 1,1,1,100000001,610000001448,
2.48546,,Spine,3,2,Image 1,2,1,100000002,610000001450,
0.370838,,Spine,3,2,Image 1,1,1,100000001,610000001452,
0,,Spine,3,6,Image 1,2,1,100000000,610000001454,
0,,Spine,3,6,Image 1,2,1,100000000,610000001456,
2.40167,,Spine,3,1,Image 1,1,1,100000002,610000001461,
7.59624,,Spine,3,2,Image 1,3,1,100000002,610000001463,
0,,Spine,3,2,Image 1,1,1,100000001,610000001466,
0,,Spine,3,3,Image 1,1,1,100000000,610000001469,
0,,Spine,3,6,Image 1,3,1,100000001,610000001471,
0,,Spine,3,1,Image 1,1,1,100000002,610000001475,
0,,Spine,3,6,Image 1,2,1,100000000,610000001479,
4.17925,,Spine,3,1,Image 1,1,1,100000000,610000001482,
0,,Spine,3,2,Image 1,1,1,100000001,610000001485,
1.34682,,Spine,3,0,Image 1,1,1,100000000,610000001487,
0,,Spine,3,2,Image 1,1,1,100000000,610000001490,
0,,Spine,3,2,Image 1,1,1,100000001,610000001493,
3.83348,,Spine,3,0,Image 1,1,1,100000000,610000001496,
0,,Spine,3,6,Image 1,2,1,100000000,610000001500,
2.02796,,Spine,3,1,Image 1,1,1,100000000,610000001505,
16.0389,,Spine,3,8,Image 1,5,1,100000001,610000001509,
0,,Spine,3,2,Image 1,1,1,100000001,610000001514,
9.4403,,Spine,3,2,Image 1,1,1,100000001,610000001516,
0,,Spine,3,1,Image 1,1,1,100000002,610000001522,
0,,Spine,3,1,Image 1,1,1,100000002,610000001525,
0,,Spine,3,2,Image 1,1,1,100000000,610000001527,
3.20341,,Spine,3,0,Image 1,1,1,100000001,610000001531,
0,,Spine,3,10,Image 1,4,1,100000001,610000001536,
5.58258,,Spine,3,1,Image 1,1,1,100000002,610000001538,
3.48664,,Spine,3,2,Image 1,1,1,100000001,610000001544,
0,,Spine,3,6,Image 1,3,1,100000000,610000001547,
0,,Spine,3,5,Image 1,2,1,100000001,610000001556,
0,,Spine,3,6,Image 1,2,1,100000000,610000001561,
0,,Spine,3,6,Image 1,2,1,100000000,610000001581,
6.63553,,Spine,3,6,Image 1,2,1,100000000,610000001582,
0,,Spine,3,5,Image 1,2,1,100000000,610000001583,
0,,Spine,3,5,Image 1,2,1,100000000,610000001584,
6.8514,,Spine,3,4,Image 1,3,1,100000000,610000001585,
2.25802,,Spine,3,4,Image 1,3,1,100000000,610000001586,
0,,Spine,3,3,Image 1,1,1,100000000,610000001587,
0,,Spine,3,2,Image 1,2,1,100000000,610000001588,
0,,Spine,3,0,Image 1,1,1,100000000,610000001589,
0,,Spine,3,0,Image 1,1,1,100000000,610000001590,
0,,Spine,3,0,Image 1,1,1,100000000,610000001591,
0,,Spine,3,0,Image 1,1,1,100000000,610000001592,
0,,Spine,3,0,Image 1,1,1,100000000,610000001593,
0,,Spine,3,0,Image 1,1,1,100000000,610000001594,
0,,Spine,3,9,Image 1,4,1,100000001,610000001605,
0,,Spine,3,8,Image 1,4,1,100000001,610000001606,
0,,Spine,3,4,Image 1,1,1,100000001,610000001607,
0,,Spine,3,7,Image 1,4,1,100000001,610000001608,
0,,Spine,3,10,Image 1,4,1,100000001,610000001609,
0,,Spine,3,5,Image 1,2,1,100000001,610000001610,
0,,Spine,3,5,Image 1,2,1,100000001,610000001611,
22.5059,,Spine,3,5,Image 1,3,1,100000001,610000001612,
0,,Spine,3,4,Image 1,2,1,100000001,610000001613,
0,,Spine,3,3,Image 1,1,1,100000001,610000001614,
0,,Spine,3,3,Image 1,1,1,100000001,610000001615,
0,,Spine,3,3,Image 1,1,1,100000001,610000001616,
0,,Spine,3,3,Image 1,1,1,100000001,610000001617,
0,,Spine,3,2,Image 1,1,1,100000001,610000001618,
0,,Spine,3,2,Image 1,1,1,100000001,610000001619,
0,,Spine,3,0,Image 1,1,1,100000001,610000001620,
0,,Spine,3,2,Image 1,3,1,100000002,610000001631,
0,,Spine,3,1,Image 1,1,1,100000002,610000001640,
0,,Spine,3,1,Image 1,1,1,100000002,610000001641,
