
Spine Branchings
 ==================== 
Spine Branchings,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Spine,0,1,1,100000000,610000000485,
0,,Spine,0,1,1,100000002,610000000497,
0,,Spine,0,1,1,100000000,610000000503,
0,,Spine,0,1,1,100000002,610000000513,
0,,Spine,0,1,1,100000001,610000000516,
0,,Spine,0,1,1,100000001,610000000519,
0,,Spine,1,1,1,100000001,610000000521,
0,,Spine,0,1,1,100000001,610000000523,
0,,Spine,0,1,1,100000001,610000000526,
0,,Spine,0,1,1,100000001,610000000528,
0,,Spine,0,1,1,100000001,610000000530,
0,,Spine,0,1,1,100000001,610000000533,
0,,Spine,2,3,1,100000001,610000000536,
0,,Spine,0,1,1,100000002,610000000539,
0,,Spine,0,1,1,100000001,610000000541,
0,,Spine,2,3,1,100000001,610000000544,
0,,Spine,0,1,1,100000001,610000000546,
0,,Spine,0,1,1,100000002,610000000551,
0,,Spine,0,1,1,100000002,610000000556,
0,,Spine,0,1,1,100000002,610000000561,
0,,Spine,0,1,1,100000001,610000000564,
0,,Spine,2,3,1,100000000,610000000572,
0,,Spine,2,3,1,100000000,610000000573,
0,,Spine,0,1,1,100000000,610000000574,
0,,Spine,0,1,1,100000000,610000000575,
0,,Spine,5,1,1,100000001,610000000577,
0,,Spine,5,2,1,100000001,610000000578,
0,,Spine,2,1,1,100000001,610000000579,
0,,Spine,2,3,1,100000001,610000000580,
0,,Spine,0,1,1,100000001,610000000581,
0,,Spine,0,1,1,100000001,610000000582,
0,,Spine,0,1,1,100000001,610000000585,
0,,Spine,0,1,1,100000001,610000000586,
0,,Spine,0,1,1,100000002,610000000588,
0,,Spine,0,1,1,100000002,610000000589,
