
Spine Part Min Diameter Neck
 ==================== 
Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.229695,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000000485,
0.219255,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000497,
0.243501,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000000503,
0.243501,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000513,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000516,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000519,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000000521,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000523,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000526,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000528,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000530,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000533,
0,µm,Spine,Spine Part Min Diameter,2,3,1,100000001,610000000536,
0.293002,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000539,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000541,
0,µm,Spine,Spine Part Min Diameter,2,3,1,100000001,610000000544,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000546,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000551,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000556,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000561,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000564,
0,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000000572,
0,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000000573,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000000574,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000000575,
0,µm,Spine,Spine Part Min Diameter,5,1,1,100000001,610000000577,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000001,610000000578,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000001,610000000579,
0,µm,Spine,Spine Part Min Diameter,2,3,1,100000001,610000000580,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000581,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000582,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000585,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000000586,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000588,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000000589,
