
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
0,,Filament,2.000,1,100000000,
1,,Filament,3.000,1,100000000,
1,,Filament,4.000,1,100000000,
4,,Filament,5.000,1,100000000,
6,,Filament,6.000,1,100000000,
5,,Filament,7.000,1,100000000,
8,,Filament,8.000,1,100000000,
6,,Filament,9.000,1,100000000,
7,,Filament,10.000,1,100000000,
7,,Filament,11.000,1,100000000,
8,,Filament,12.000,1,100000000,
7,,Filament,13.000,1,100000000,
7,,Filament,14.000,1,100000000,
7,,Filament,15.000,1,100000000,
8,,Filament,16.000,1,100000000,
5,,Filament,17.000,1,100000000,
4,,Filament,18.000,1,100000000,
3,,Filament,19.000,1,100000000,
3,,Filament,20.000,1,100000000,
3,,Filament,21.000,1,100000000,
10,,Filament,22.000,1,100000000,
8,,Filament,23.000,1,100000000,
12,,Filament,24.000,1,100000000,
7,,Filament,25.000,1,100000000,
7,,Filament,26.000,1,100000000,
5,,Filament,27.000,1,100000000,
2,,Filament,28.000,1,100000000,
3,,Filament,29.000,1,100000000,
3,,Filament,30.000,1,100000000,
3,,Filament,31.000,1,100000000,
4,,Filament,32.000,1,100000000,
5,,Filament,33.000,1,100000000,
2,,Filament,34.000,1,100000000,
1,,Filament,35.000,1,100000000,
2,,Filament,36.000,1,100000000,
2,,Filament,37.000,1,100000000,
1,,Filament,38.000,1,100000000,
1,,Filament,39.000,1,100000000,
1,,Filament,40.000,1,100000000,
1,,Filament,41.000,1,100000000,
1,,Filament,42.000,1,100000000,
1,,Filament,43.000,1,100000000,
0,,Filament,44.000,1,100000000,
0,,Filament,0.000,1,100000001,
0,,Filament,1.000,1,100000001,
0,,Filament,2.000,1,100000001,
1,,Filament,3.000,1,100000001,
2,,Filament,4.000,1,100000001,
6,,Filament,5.000,1,100000001,
6,,Filament,6.000,1,100000001,
3,,Filament,7.000,1,100000001,
3,,Filament,8.000,1,100000001,
2,,Filament,9.000,1,100000001,
4,,Filament,10.000,1,100000001,
4,,Filament,11.000,1,100000001,
3,,Filament,12.000,1,100000001,
5,,Filament,13.000,1,100000001,
4,,Filament,14.000,1,100000001,
2,,Filament,15.000,1,100000001,
1,,Filament,16.000,1,100000001,
2,,Filament,17.000,1,100000001,
1,,Filament,18.000,1,100000001,
1,,Filament,19.000,1,100000001,
0,,Filament,20.000,1,100000001,
0,,Filament,0.000,1,100000002,
0,,Filament,1.000,1,100000002,
2,,Filament,2.000,1,100000002,
3,,Filament,3.000,1,100000002,
4,,Filament,4.000,1,100000002,
6,,Filament,5.000,1,100000002,
5,,Filament,6.000,1,100000002,
3,,Filament,7.000,1,100000002,
5,,Filament,8.000,1,100000002,
4,,Filament,9.000,1,100000002,
1,,Filament,10.000,1,100000002,
1,,Filament,11.000,1,100000002,
1,,Filament,12.000,1,100000002,
0,,Filament,13.000,1,100000002,
