
Spine Time Index
 ==================== 
Spine Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,3,3,1,100000000,610000004573,
1,,Spine,3,3,1,100000000,610000004592,
1,,Spine,1,2,1,100000002,610000004606,
1,,Spine,2,2,1,100000003,610000004626,
1,,Spine,1,2,1,100000000,610000004643,
1,,Spine,5,4,1,100000003,610000004656,
1,,Spine,4,1,1,100000002,610000004666,
1,,Spine,2,2,1,100000003,610000004676,
1,,Spine,1,1,1,100000002,610000004682,
1,,Spine,5,2,1,100000000,610000004692,
1,,Spine,5,2,1,100000000,610000004700,
1,,Spine,2,2,1,100000003,610000004709,
1,,Spine,2,2,1,100000003,610000004716,
1,,Spine,5,1,1,100000002,610000004725,
1,,Spine,5,1,1,100000002,610000004734,
1,,Spine,5,1,1,100000002,610000004742,
1,,Spine,5,1,1,100000002,610000004749,
1,,Spine,5,1,1,100000002,610000004755,
1,,Spine,0,1,1,100000002,610000004768,
1,,Spine,1,2,1,100000003,610000004773,
1,,Spine,5,2,1,100000002,610000004786,
1,,Spine,5,2,1,100000002,610000004798,
1,,Spine,1,2,1,100000000,610000004813,
1,,Spine,1,2,1,100000000,610000004823,
1,,Spine,1,2,1,100000000,610000004829,
1,,Spine,1,2,1,100000000,610000004836,
1,,Spine,0,1,1,100000003,610000004846,
1,,Spine,5,2,1,100000002,610000004850,
1,,Spine,0,1,1,100000001,610000004857,
1,,Spine,0,1,1,100000001,610000004860,
1,,Spine,1,2,1,100000003,610000004863,
1,,Spine,1,2,1,100000000,610000004871,
1,,Spine,1,1,1,100000002,610000004873,
1,,Spine,0,1,1,100000002,610000004877,
1,,Spine,0,1,1,100000003,610000004884,
1,,Spine,5,1,1,100000003,610000004886,
1,,Spine,0,1,1,100000001,610000004889,
1,,Spine,0,1,1,100000003,610000004895,
1,,Spine,1,2,1,100000000,610000004901,
1,,Spine,0,1,1,100000002,610000004905,
1,,Spine,0,1,1,100000003,610000004912,
1,,Spine,0,1,1,100000002,610000004915,
1,,Spine,1,1,1,100000003,610000004918,
1,,Spine,2,1,1,100000003,610000004920,
1,,Spine,1,2,1,100000000,610000004923,
1,,Spine,0,1,1,100000003,610000004927,
1,,Spine,0,1,1,100000002,610000004931,
1,,Spine,1,2,1,100000000,610000004933,
1,,Spine,0,1,1,100000002,610000004936,
1,,Spine,0,1,1,100000003,610000004941,
1,,Spine,5,2,1,100000002,610000004944,
1,,Spine,0,1,1,100000003,610000004948,
1,,Spine,0,1,1,100000002,610000004951,
1,,Spine,0,1,1,100000001,610000004954,
1,,Spine,1,2,1,100000000,610000004957,
1,,Spine,0,1,1,100000002,610000004961,
1,,Spine,1,1,1,100000002,610000004963,
1,,Spine,0,1,1,100000002,610000004967,
1,,Spine,0,1,1,100000003,610000004974,
1,,Spine,0,1,1,100000001,610000004976,
1,,Spine,0,1,1,100000002,610000004978,
1,,Spine,0,1,1,100000001,610000004981,
1,,Spine,0,1,1,100000002,610000004984,
1,,Spine,1,2,1,100000000,610000004986,
1,,Spine,0,1,1,100000001,610000004988,
1,,Spine,0,1,1,100000001,610000004991,
1,,Spine,0,1,1,100000003,610000004993,
1,,Spine,1,1,1,100000002,610000004999,
1,,Spine,0,1,1,100000002,610000005002,
1,,Spine,0,1,1,100000002,610000005013,
1,,Spine,0,1,1,100000002,610000005016,
1,,Spine,1,2,1,100000000,610000005018,
1,,Spine,0,1,1,100000001,610000005020,
1,,Spine,0,1,1,100000001,610000005022,
1,,Spine,0,1,1,100000000,610000005024,
1,,Spine,0,1,1,100000001,610000005026,
1,,Spine,1,1,1,100000002,610000005033,
1,,Spine,0,1,1,100000003,610000005035,
1,,Spine,0,1,1,100000002,610000005041,
1,,Spine,0,1,1,100000002,610000005043,
1,,Spine,0,1,1,100000002,610000005048,
1,,Spine,0,1,1,100000003,610000005053,
1,,Spine,0,1,1,100000002,610000005067,
1,,Spine,1,1,1,100000002,610000005071,
1,,Spine,5,2,1,100000000,610000005101,
1,,Spine,5,2,1,100000000,610000005102,
1,,Spine,5,2,1,100000000,610000005103,
1,,Spine,3,3,1,100000000,610000005104,
1,,Spine,1,1,1,100000000,610000005105,
1,,Spine,1,1,1,100000000,610000005106,
1,,Spine,1,2,1,100000000,610000005114,
1,,Spine,1,2,1,100000000,610000005115,
1,,Spine,1,1,1,100000000,610000005116,
1,,Spine,5,3,1,100000001,610000005123,
1,,Spine,3,3,1,100000001,610000005125,
1,,Spine,0,1,1,100000001,610000005126,
1,,Spine,0,1,1,100000001,610000005129,
1,,Spine,1,2,1,100000001,610000005131,
1,,Spine,5,3,1,100000001,610000005132,
1,,Spine,0,1,1,100000001,610000005133,
1,,Spine,0,1,1,100000001,610000005134,
1,,Spine,3,3,1,100000001,610000005139,
1,,Spine,3,3,1,100000001,610000005140,
1,,Spine,0,1,1,100000001,610000005143,
1,,Spine,0,1,1,100000001,610000005144,
1,,Spine,5,2,1,100000002,610000005145,
1,,Spine,4,1,1,100000002,610000005146,
1,,Spine,0,1,1,100000002,610000005147,
1,,Spine,1,2,1,100000002,610000005148,
1,,Spine,0,1,1,100000002,610000005149,
1,,Spine,0,1,1,100000002,610000005150,
1,,Spine,1,1,1,100000002,610000005151,
1,,Spine,1,1,1,100000002,610000005152,
