
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
9,,Filament,1.000,1,100000000,
9,,Filament,2.000,1,100000000,
9,,Filament,3.000,1,100000000,
7,,Filament,4.000,1,100000000,
7,,Filament,5.000,1,100000000,
8,,Filament,6.000,1,100000000,
8,,Filament,7.000,1,100000000,
8,,Filament,8.000,1,100000000,
10,,Filament,9.000,1,100000000,
10,,Filament,10.000,1,100000000,
14,,Filament,11.000,1,100000000,
14,,Filament,12.000,1,100000000,
13,,Filament,13.000,1,100000000,
15,,Filament,14.000,1,100000000,
15,,Filament,15.000,1,100000000,
13,,Filament,16.000,1,100000000,
14,,Filament,17.000,1,100000000,
14,,Filament,18.000,1,100000000,
13,,Filament,19.000,1,100000000,
12,,Filament,20.000,1,100000000,
12,,Filament,21.000,1,100000000,
11,,Filament,22.000,1,100000000,
11,,Filament,23.000,1,100000000,
10,,Filament,24.000,1,100000000,
8,,Filament,25.000,1,100000000,
7,,Filament,26.000,1,100000000,
9,,Filament,27.000,1,100000000,
8,,Filament,28.000,1,100000000,
7,,Filament,29.000,1,100000000,
6,,Filament,30.000,1,100000000,
5,,Filament,31.000,1,100000000,
6,,Filament,32.000,1,100000000,
6,,Filament,33.000,1,100000000,
4,,Filament,34.000,1,100000000,
4,,Filament,35.000,1,100000000,
4,,Filament,36.000,1,100000000,
4,,Filament,37.000,1,100000000,
5,,Filament,38.000,1,100000000,
5,,Filament,39.000,1,100000000,
5,,Filament,40.000,1,100000000,
5,,Filament,41.000,1,100000000,
4,,Filament,42.000,1,100000000,
5,,Filament,43.000,1,100000000,
5,,Filament,44.000,1,100000000,
5,,Filament,45.000,1,100000000,
8,,Filament,46.000,1,100000000,
5,,Filament,47.000,1,100000000,
3,,Filament,48.000,1,100000000,
2,,Filament,49.000,1,100000000,
3,,Filament,50.000,1,100000000,
2,,Filament,51.000,1,100000000,
2,,Filament,52.000,1,100000000,
3,,Filament,53.000,1,100000000,
2,,Filament,54.000,1,100000000,
2,,Filament,55.000,1,100000000,
1,,Filament,56.000,1,100000000,
1,,Filament,57.000,1,100000000,
0,,Filament,58.000,1,100000000,
0,,Filament,0.000,1,100000001,
9,,Filament,1.000,1,100000001,
7,,Filament,2.000,1,100000001,
9,,Filament,3.000,1,100000001,
9,,Filament,4.000,1,100000001,
10,,Filament,5.000,1,100000001,
10,,Filament,6.000,1,100000001,
11,,Filament,7.000,1,100000001,
9,,Filament,8.000,1,100000001,
7,,Filament,9.000,1,100000001,
6,,Filament,10.000,1,100000001,
7,,Filament,11.000,1,100000001,
8,,Filament,12.000,1,100000001,
8,,Filament,13.000,1,100000001,
