
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,12,5,1,100000000,610000004162,
0.523821,µm,Spine,11,5,1,100000000,610000004165,
0.416667,µm,Spine,0,1,1,100000002,610000004168,
0.472088,µm,Spine,0,1,1,100000000,610000004178,
0.638548,µm,Spine,5,3,1,100000002,610000004183,
0.548804,µm,Spine,3,2,1,100000001,610000004186,
0.635231,µm,Spine,0,1,1,100000000,610000004191,
0.862024,µm,Spine,5,2,1,100000000,610000004194,
0.726273,µm,Spine,4,2,1,100000001,610000004196,
0.554163,µm,Spine,8,2,1,100000000,610000004198,
0.949816,µm,Spine,0,1,1,100000002,610000004200,
1.02539,µm,Spine,5,3,1,100000002,610000004202,
0.732131,µm,Spine,3,2,1,100000001,610000004205,
0.416667,µm,Spine,6,2,1,100000000,610000004207,
0.538772,µm,Spine,0,1,1,100000000,610000004210,
0.452474,µm,Spine,0,1,1,100000000,610000004212,
0.416667,µm,Spine,0,1,1,100000000,610000004215,
0.572917,µm,Spine,12,3,1,100000000,610000004224,
0.625,µm,Spine,0,1,1,100000000,610000004231,
1.20474,µm,Spine,0,1,1,100000002,610000004235,
0.416667,µm,Spine,0,1,1,100000002,610000004239,
0.674019,µm,Spine,0,1,1,100000000,610000004241,
0.495809,µm,Spine,0,1,1,100000000,610000004246,
1.56318,µm,Spine,0,1,1,100000000,610000004248,
1.07904,µm,Spine,0,1,1,100000000,610000004251,
1.70439,µm,Spine,0,1,1,100000000,610000004253,
0.743199,µm,Spine,0,1,1,100000002,610000004257,
0.428874,µm,Spine,0,1,1,100000000,610000004260,
0.447193,µm,Spine,0,1,1,100000000,610000004263,
0.913086,µm,Spine,0,1,1,100000002,610000004267,
0.574206,µm,Spine,13,4,1,100000000,610000004303,
1.38328,µm,Spine,13,4,1,100000000,610000004304,
0.520833,µm,Spine,14,5,1,100000000,610000004305,
0.58897,µm,Spine,17,3,1,100000000,610000004306,
0.416667,µm,Spine,17,4,1,100000000,610000004307,
0.699803,µm,Spine,14,4,1,100000000,610000004308,
0.837729,µm,Spine,8,2,1,100000000,610000004309,
0.963709,µm,Spine,6,2,1,100000000,610000004310,
0.989583,µm,Spine,1,1,1,100000000,610000004311,
0.625,µm,Spine,1,2,1,100000000,610000004312,
0.416667,µm,Spine,8,1,1,100000000,610000004313,
0.867451,µm,Spine,4,2,1,100000000,610000004314,
0.834168,µm,Spine,3,1,1,100000000,610000004315,
0.569451,µm,Spine,4,2,1,100000000,610000004316,
1.3021,µm,Spine,0,1,1,100000000,610000004317,
0.635231,µm,Spine,0,1,1,100000000,610000004318,
1.10418,µm,Spine,14,6,1,100000000,610000004328,
1.02865,µm,Spine,11,5,1,100000000,610000004329,
1.27068,µm,Spine,10,6,1,100000000,610000004330,
0.79407,µm,Spine,6,3,1,100000000,610000004331,
1.09701,µm,Spine,7,2,1,100000000,610000004332,
0.84573,µm,Spine,5,2,1,100000000,610000004333,
1.10631,µm,Spine,4,1,1,100000000,610000004334,
1.27863,µm,Spine,2,1,1,100000000,610000004335,
1.29861,µm,Spine,0,1,1,100000000,610000004338,
1.5012,µm,Spine,0,1,1,100000000,610000004339,
0.799142,µm,Spine,6,2,1,100000001,610000004345,
0.558354,µm,Spine,9,5,1,100000001,610000004346,
0.416667,µm,Spine,4,3,1,100000001,610000004347,
0.472175,µm,Spine,1,1,1,100000001,610000004348,
0.670503,µm,Spine,1,2,1,100000001,610000004349,
0.933245,µm,Spine,3,3,1,100000002,610000004350,
0.691135,µm,Spine,4,3,1,100000002,610000004355,
0.461623,µm,Spine,11,6,1,100000002,610000004356,
0.571373,µm,Spine,9,5,1,100000002,610000004357,
0.732311,µm,Spine,3,3,1,100000002,610000004358,
0.625,µm,Spine,2,1,1,100000002,610000004359,
1.24381,µm,Spine,0,1,1,100000002,610000004361,
1.49727,µm,Spine,0,1,1,100000002,610000004362,
0.549863,µm,Spine,0,1,1,100000002,610000004363,
