
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0168582,µm^3,Spine,Spine Part Volume,0,1,1,100000006,610000001588,
0.0220818,µm^3,Spine,Spine Part Volume,0,1,1,100000006,610000001594,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000006,610000001599,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000006,610000001604,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000006,610000001607,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000007,610000001610,
0,µm^3,Spine,Spine Part Volume,8,1,1,100000007,610000001612,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000007,610000001614,
0,µm^3,Spine,Spine Part Volume,8,1,1,100000007,610000001623,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000005,610000001632,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000006,610000001633,
0,µm^3,Spine,Spine Part Volume,7,2,1,100000007,610000001636,
0,µm^3,Spine,Spine Part Volume,7,3,1,100000007,610000001637,
0,µm^3,Spine,Spine Part Volume,6,3,1,100000007,610000001638,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000007,610000001639,
0,µm^3,Spine,Spine Part Volume,8,1,1,100000007,610000001640,
0,µm^3,Spine,Spine Part Volume,8,1,1,100000007,610000001641,
0,µm^3,Spine,Spine Part Volume,6,1,1,100000007,610000001642,
0,µm^3,Spine,Spine Part Volume,4,1,1,100000007,610000001643,
0,µm^3,Spine,Spine Part Volume,4,2,1,100000007,610000001644,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000007,610000001645,
