
Soma Intensity Sum Ch=1 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
6713,,Soma,1,Image 1,1,100000000,800000000,
4257,,Soma,1,Image 1,1,100000001,800000001,
14870,,Soma,1,Image 1,1,100000002,800000002,
7767,,Soma,1,Image 1,1,100000003,800000003,
